parameter_set,epsilon,solver,embedding_precision,block_size,q,q_bits,power2_ceiling,absolute_gap,relative_gap,acceptance_ratio,expected_attempts,SD,RD,log2_renyi_minus_one,exact_linf_svp,heuristic_bkz,global_svp_certified,interval_post_verified,selected,status
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,9418310566212292025233395773740714628857715814,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,6812460376222111017268323098014559045997150161,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,4206610186231930009303250422288403463136584508,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,1600759996241749001338177746562247880276018855,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,1005090193748432006626894929163907702584546798,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,7393776015420290463788172411200285192378225890,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,4787925825430109455823099735474129609517660237,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,2182075635439928447858027059747974026657094584,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,423774554550252560107045615978181556203471069,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,3029624744540433568072118291704337139064036722,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,5369241464628288902342949048659855755898735966,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
