parameter_set,epsilon,solver,embedding_precision,block_size,q,q_bits,power2_ceiling,absolute_gap,relative_gap,acceptance_ratio,expected_attempts,SD,RD,log2_renyi_minus_one,exact_linf_svp,heuristic_bkz,global_svp_certified,interval_post_verified,selected,status
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,6933,13,8192,1259,0.15368652343750000000000000000000000000000000000000,0.84631347656250000000000000000000000000000000000000,1.1815952690033174671859224001153901629886052214049,0.00017072064348187947854439893706280294543522091753908,1.2822472985330348540658365248060092758857696910533,-1.8249683222562968134407658091236334536364435638935,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,7050,13,8192,1142,0.13940429687500000000000000000000000000000000000000,0.86059570312500000000000000000000000000000000000000,1.1619858156028368794326241134751773049645390070922,0.00016975826223180757506784980222781258644473172236923,1.2609262350194733660666651517922290553335796932088,-1.9382860866091774730089615491505308918244429717895,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,7090,13,8192,1102,0.13452148437500000000000000000000000000000000000000,0.86547851562500000000000000000000000000000000000000,1.1554301833568406205923836389280677009873060648801,0.00013448940335640341674810907567645623965656441205613,1.0003481482687796680878230775953596890323716317634,-11.488010530149050042078455566072446060481777534599,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,7645,13,8192,547,0.066772460937500000000000000000000000000000000000000,0.93322753906250000000000000000000000000000000000000,1.0715500327011118378024852844996729888816219751472,0.00012532185777703483619898357992519046750545374436478,1.1626060557505250736408640728086214962437668797171,-2.6205471078399458609274550941341209961883785793297,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,7762,13,8192,430,0.052490234375000000000000000000000000000000000000000,0.94750976562500000000000000000000000000000000000000,1.0553980932749291419737181138881731512496779180624,0.00015181304448614357460003149847119505897411199103581,1.1450476216076029421965122314375842755639833825869,-2.7854014554910479597702263656120192269238096980918,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,8123,13,8192,69,0.0084228515625000000000000000000000000000000000000000,0.99157714843750000000000000000000000000000000000000,1.0084943986211990643850794041610242521235996552998,0.00014157052834250842760759943172594725335020560464996,1.0940626046671972758791545115560018678899415123128,-3.4102349076700398965294331216296239935951334111827,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,8357,14,16384,8027,0.48992919921875000000000000000000000000000000000000,0.51007080078125000000000000000000000000000000000000,1.9605121455067607993299030752662438674165370348211,0.00011244019448039180861054599185777413394769564525376,1.0633693427381739710176515361870501601339443383774,-3.9800711376845657282686061908246870584085319146071,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,8474,14,16384,7910,0.48278808593750000000000000000000000000000000000000,0.51721191406250000000000000000000000000000000000000,1.9334434741562426244984658956809063016285107387302,0.00013688340262787933064226432340816065153159734554366,1.0486589909514944783431351572234074124677181158423,-4.3611497865630942166231027295576223305257447645667,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,8718,14,16384,7666,0.46789550781250000000000000000000000000000000000000,0.53210449218750000000000000000000000000000000000000,1.8793301215875200734113328745125028676301904106446,0.00013013248597277989302162818221979532344320705626462,1.0192580652393611258136848702358625002247663386290,-5.6983934196040845507412483811330120667366765429263,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,8835,14,16384,7549,0.46075439453125000000000000000000000000000000000000,0.53924560546875000000000000000000000000000000000000,1.8544425580079230333899264289756649688737973967176,0.000085263080480717921829188677045207765589133112886540,1.0058372268098072905770821101603395574654604707050,-7.4205011583595325801364166538739856934723308247032,false,true,false,true,false,renyi_requirement_failed
