scheme,parameter_set,sampler_family,table_family,implementation,benchmark_kind,batch_size,lane_width,repetition_index,repetitions,samples_per_repetition,total_cycles,cycles_per_sample,timer_overhead,attempts,rejections,random_bits,random_bytes,attempts_per_sample,rejections_per_sample,acceptance_ratio,expected_acceptance_ratio,random_bits_per_sample,random_bytes_per_sample,native_table_bytes,packed_bits,vector_batches,vectorized_samples,scalar_tail_samples,fallback_samples,refill_rounds,rejected_lanes,avx2_path_executed,checksum,status,reason
Frodo,frodo1344,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,0,2,1000,152416,152.416000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,8,0,2,1000,176064,176.064000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-cdt-ref,end-to-end,1,1,0,2,1000,99068,99.068000,66,1245,245,8715,1245,1.245000000,0.245000000,0.803212851,0.796875000,8.715000000,1.245000000,4,35,0,0,0,0,0,0,0,13324492243160281534,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,1,8,0,2,1000,133594,133.594000,66,1245,245,8715,1245,1.245000000,0.245000000,0.803212851,0.796875000,8.715000000,1.245000000,4,35,0,0,1000,0,1245,245,0,13324492243160281534,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,1,2,1000,141274,141.274000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,8,1,2,1000,173524,173.524000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-cdt-ref,end-to-end,1,1,1,2,1000,88314,88.314000,66,1253,253,8771,1253,1.253000000,0.253000000,0.798084597,0.796875000,8.771000000,1.253000000,4,35,0,0,0,0,0,0,0,6891783120381831670,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,1,8,1,2,1000,115160,115.160000,66,1253,253,8771,1253,1.253000000,0.253000000,0.798084597,0.796875000,8.771000000,1.253000000,4,35,0,0,1000,0,1253,253,0,6891783120381831670,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,0,2,1000,44604,44.604000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,8,0,2,1000,34716,34.716000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,125,1000,0,0,0,0,1,5508103314724780671,available,
