scheme,parameter_set,sampler_family,table_family,implementation,benchmark_kind,batch_size,lane_width,repetition_index,repetitions,samples_per_repetition,total_cycles,cycles_per_sample,timer_overhead,attempts,rejections,random_bits,random_bytes,attempts_per_sample,rejections_per_sample,acceptance_ratio,expected_acceptance_ratio,random_bits_per_sample,random_bytes_per_sample,native_table_bytes,packed_bits,vector_batches,vectorized_samples,scalar_tail_samples,fallback_samples,refill_rounds,rejected_lanes,avx2_path_executed,checksum,status,reason
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,1,4,1,2,1000,232980,232.980000,66,1000,0,72000,9000,1.000000000,0.000000000,1.000000000,1.000000000,72.000000000,9.000000000,171,1368,0,0,1000,0,0,0,0,16636802608930019800,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,8,1,0,2,1000,223920,223.920000,66,1000,0,72000,9000,1.000000000,0.000000000,1.000000000,1.000000000,72.000000000,9.000000000,171,1368,0,0,0,0,0,0,0,5833287630140189722,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,8,4,0,2,1000,142048,142.048000,66,1000,0,72000,9000,1.000000000,0.000000000,1.000000000,1.000000000,72.000000000,9.000000000,171,1368,250,1000,0,0,0,0,1,5833287630140189722,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,8,1,1,2,1000,100798,100.798000,66,1000,0,72000,9000,1.000000000,0.000000000,1.000000000,1.000000000,72.000000000,9.000000000,171,1368,0,0,0,0,0,0,0,3607990211523327587,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,8,4,1,2,1000,141648,141.648000,66,1000,0,72000,9000,1.000000000,0.000000000,1.000000000,1.000000000,72.000000000,9.000000000,171,1368,250,1000,0,0,0,0,1,3607990211523327587,available,
Falcon,falcon,sda-cdt,sda-table,sda-cdt-ref,end-to-end,1,1,0,2,1000,181720,181.720000,66,1006,6,72432,9054,1.006000000,0.006000000,0.994035785,0.994350763,72.432000000,9.054000000,162,1368,0,0,0,0,0,0,0,2660132305268819008,available,
Falcon,falcon,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,1,4,0,2,1000,166438,166.438000,66,1006,6,72432,9054,1.006000000,0.006000000,0.994035785,0.994350763,72.432000000,9.054000000,162,1368,0,0,1000,0,1006,6,0,2660132305268819008,available,
Falcon,falcon,sda-cdt,sda-table,sda-cdt-ref,end-to-end,1,1,1,2,1000,184572,184.572000,66,1003,3,72216,9027,1.003000000,0.003000000,0.997008973,0.994350763,72.216000000,9.027000000,162,1368,0,0,0,0,0,0,0,686806421891617753,available,
Falcon,falcon,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,1,4,1,2,1000,129196,129.196000,66,1003,3,72216,9027,1.003000000,0.003000000,0.997008973,0.994350763,72.216000000,9.027000000,162,1368,0,0,1000,0,1003,3,0,686806421891617753,available,
Falcon,falcon,sda-cdt,sda-table,sda-cdt-ref,end-to-end,8,1,0,2,1000,187802,187.802000,66,1006,6,72432,9054,1.006000000,0.006000000,0.994035785,0.994350763,72.432000000,9.054000000,162,1368,0,0,0,0,0,0,0,5531564807330308655,available,
Falcon,falcon,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,8,4,0,2,1000,180476,180.476000,66,1006,6,72432,9054,1.006000000,0.006000000,0.994035785,0.994350763,72.432000000,9.054000000,162,1368,250,1000,0,0,1006,6,1,5531564807330308655,available,
Falcon,falcon,sda-cdt,sda-table,sda-cdt-ref,end-to-end,8,1,1,2,1000,238362,238.362000,66,1003,3,72216,9027,1.003000000,0.003000000,0.997008973,0.994350763,72.216000000,9.027000000,162,1368,0,0,0,0,0,0,0,12325209862819430540,available,
Falcon,falcon,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,8,4,1,2,1000,179670,179.670000,66,1003,3,72216,9027,1.003000000,0.003000000,0.997008973,0.994350763,72.216000000,9.027000000,162,1368,250,1000,0,0,1003,3,1,12325209862819430540,available,
